style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/achille-beltrame_snowstorm-in-montenegro-three-hundred-soldiers-stranded-8th-january-1899-1899.jpg,13.9,86.1,original-aesthetic,11,0.1763,0.5269,0.5839,0.1624,0.8055,0.5936,0.1463,0.5757
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/aladar-korosfoi-kriesch_memory-1905.jpg,2.2,97.8,original-aesthetic,31,0.3142,0.4688,0.4639,0.1881,0.7786,0.5557,0.3032,0.0465
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/albert-lynch_a-summer-stroll.jpg,4.4,95.6,original-aesthetic,21,0.1552,0.4723,0.494,0.2125,0.7121,0.5406,0.2074,0.5415
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/aladar-korosfoi-kriesch_madonna-1908.jpg,15.7,84.3,original-aesthetic,11,0.1821,0.4479,0.3794,0.1235,0.8678,0.7182,0.1075,0.7299
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/akseli-gallen-kallela_the-poster-bilbol-1907.jpg,1.4,98.6,original-aesthetic,16,0.2971,0.6291,0.5271,0.1446,0.8537,0.6769,0.1393,0.3219
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-953157165-282343.jpg,2.5,97.5,original-aesthetic,12,0.1425,0.481,0.1798,0.2131,0.8231,0.7002,0.1149,0.7825
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-966999646-905008.jpg,7.5,92.5,original-aesthetic,18,1.0,0.4897,0.4998,0.2284,0.7991,0.5394,0.206,0.0
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/a-y-jackson_algoma-in-november-1935.jpg,23.6,76.4,original-aesthetic,20,0.0554,0.4476,0.5618,0.1551,0.8386,0.6928,0.1842,0.8031
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-994946931-638415.jpg,2.4,97.6,original-aesthetic,12,0.7344,0.5044,0.3937,0.1731,0.7754,0.4905,0.1807,0.2123
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-993926927-5864.jpg,2.0,98.0,original-aesthetic,14,0.0726,0.6242,0.3727,0.0579,0.812,0.6189,0.1489,0.6981
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/aladar-korosfoi-kriesch_fountain-of-art-1907.jpg,11.4,88.6,original-aesthetic,25,0.3706,0.4548,0.4026,0.1399,0.8579,0.6892,0.1846,0.2289
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-975362060-635031.jpg,2.6,97.4,original-aesthetic,12,0.7966,0.5382,0.5039,0.2073,0.7533,0.4963,0.178,0.0023
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/albert-maignan_fresco-at-le-train-bleu.jpg,8.1,91.9,original-aesthetic,15,0.2516,0.5173,0.5449,0.1927,0.7699,0.5352,0.1848,0.389
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-970849424-21913.jpg,4.5,95.5,original-aesthetic,25,0.2579,0.4195,0.3945,0.1057,0.7536,0.4967,0.2129,0.3935
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-999438861-67284.jpg,1.7,98.3,original-aesthetic,9,0.7604,0.4947,0.455,0.2021,0.757,0.5554,0.1994,0.0
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/albert-anker_the-absinth-drinker-1908.jpg,1.7,98.3,original-aesthetic,6,0.7759,0.46,0.464,0.182,0.7312,0.5954,0.0706,0.1628
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/a-y-jackson_nellie-lake-1933.jpg,12.6,87.4,original-aesthetic,18,0.2864,0.4236,0.6044,0.1096,0.7603,0.5429,0.2303,0.4152
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-988985225-35904.jpg,1.6,98.4,original-aesthetic,10,0.4718,0.4767,0.5657,0.1754,0.8124,0.6092,0.1611,0.275
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-982421367-293655.jpg,3.9,96.1,original-aesthetic,14,0.0912,0.525,0.2092,0.1884,0.826,0.64,0.1807,0.8713
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/albert-anker_b-uerin-am-spinnrad-1910.jpg,1.6,98.4,original-aesthetic,10,0.2778,0.4914,0.565,0.188,0.758,0.6505,0.0913,0.4232
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-982290941-988920.jpg,5.1,94.9,original-aesthetic,16,0.1339,0.4691,0.4159,0.1589,0.8197,0.6097,0.1047,0.7055
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/achille-beltrame_the-barbarian-enemy-on-the-soca-line-austrian-aviators-shoot-with-machine-guns-over-our-column-of-1915.jpg,12.9,87.1,original-aesthetic,3,0.6601,0.4928,0.6406,0.1616,0.8722,0.7471,0.1159,0.2829
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-988356012-477133.jpg,4.0,96.0,original-aesthetic,16,0.2481,0.5141,0.6231,0.1587,0.7701,0.5407,0.1475,0.5031
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-999438861-961550.jpg,3.0,97.0,original-aesthetic,23,0.3981,0.5104,0.5619,0.1881,0.7606,0.4849,0.2839,0.0166
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-971118856-183782.jpg,3.5,96.5,original-aesthetic,22,0.5352,0.5253,0.4552,0.1867,0.7775,0.5192,0.1729,0.0474
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/achille-beltrame_crash-of-the-l-1-1913.jpg,68.8,31.2,ai-aesthetic,17,0.1062,0.4812,0.6144,0.1569,0.8057,0.6435,0.0583,0.6489
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/aladar-korosfoi-kriesch_ego-sum-via-veritas-et-vita-1903.jpg,8.2,91.8,original-aesthetic,11,0.2085,0.4631,0.233,0.164,0.7828,0.6423,0.1399,0.6917
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/albert-lynch_a-young-beauty.jpg,22.0,78.0,original-aesthetic,4,0.2686,0.379,0.6948,0.0536,0.8574,0.7625,0.0319,0.6519
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/achille-beltrame_verdi-at-santaagata-on-his-86th-birthday-october-1899-1899.jpg,11.8,88.2,original-aesthetic,17,0.3983,0.5156,0.4248,0.1766,0.812,0.6089,0.1889,0.4015
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-988484515-338044.jpg,10.2,89.8,original-aesthetic,18,0.1444,0.6261,0.4961,0.1677,0.8055,0.6568,0.15,0.661
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/achille-beltrame_awakening-of-liberalism-in-spain-24th-july-1910-1910.jpg,4.8,95.2,original-aesthetic,6,0.0276,0.5178,0.1121,0.2667,0.8577,0.7514,0.1602,0.9415
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/akseli-gallen-kallela_the-lair-of-the-lynx-1906.jpg,57.7,42.3,ai-aesthetic,17,0.1375,0.4869,0.331,0.1536,0.7735,0.5929,0.1065,0.5498
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-990841601-856992.jpg,6.6,93.4,original-aesthetic,24,0.2095,0.4342,0.5421,0.1603,0.8277,0.6223,0.2059,0.2621
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-994946931-386324.jpg,2.7,97.3,original-aesthetic,13,0.7168,0.4299,0.4947,0.1881,0.8127,0.6413,0.1453,0.1061
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/a-y-jackson_valley-of-the-gouffre-river-1933.jpg,19.8,80.2,original-aesthetic,15,0.3073,0.471,0.3314,0.1376,0.7292,0.5946,0.1711,0.4742
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/akseli-gallen-kallela_the-fratricide-1897.jpg,0.7,99.3,original-aesthetic,15,0.0893,0.4668,0.5282,0.1923,0.77,0.5604,0.198,0.692
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-987778012-943456.jpg,1.5,98.5,original-aesthetic,32,0.4063,0.5107,0.5333,0.2052,0.7353,0.5046,0.1497,0.106
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-95904417-975901.jpg,4.4,95.6,original-aesthetic,11,0.2688,0.3479,0.5508,0.1167,0.7988,0.577,0.1502,0.4172
art_nouveau,True,AI_SD_art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-994946931-185457.jpg,7.1,92.9,original-aesthetic,12,0.0608,0.5285,0.2926,0.1441,0.8187,0.6043,0.2361,0.867
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/achille-beltrame_vittorio-emanuele-iii-inaugurates-the-xiii-legislature-1909.jpg,29.7,70.3,original-aesthetic,22,0.2498,0.4901,0.6152,0.165,0.7826,0.5667,0.2071,0.4251
