,cv_symmetry_score,cv_edge_density,cv_region_count,cv_negative_space_ratio,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset
renaissance,-0.1476,-0.0223,0.011,-0.02,0.0363,0.1396,0.1046,0.1023
ukiyo_e,-0.2163,-0.168,0.0066,0.0666,-0.083,0.062,0.0404,-0.0807
romanticism,-0.0448,-0.4127,-0.2487,0.2656,-0.201,0.0434,0.0621,-0.1034
impressionism,-0.0468,0.0984,0.2247,-0.1336,0.0326,-0.023,-0.0093,0.0367
art_nouveau,0.0823,-0.1693,-0.0716,0.1942,-0.1765,-0.1086,0.1307,-0.0957
baroque,0.1014,-0.4213,-0.0903,0.2965,-0.1962,-0.1039,0.23,-0.0371
surrealism,-0.0196,-0.3231,-0.0578,0.0758,-0.0486,-0.1378,0.0445,-0.0695
post_impressionism,0.0186,0.3983,0.4595,-0.1987,0.0645,0.097,-0.2282,0.013
realism,-0.0495,-0.0078,0.1436,0.0691,-0.0597,-0.0577,-0.0046,-0.0664
expressionism,-0.0853,0.1048,0.1321,-0.0592,0.0245,-0.0841,0.022,0.0403
