style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_a-coastal-view-with-a-lighthouse.jpg,60.6,39.4,ai-aesthetic,18,0.6758,0.499,0.6366,0.1684,0.8639,0.7763,0.0546,0.2104
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-95417445-567308.jpg,42.6,57.4,original-aesthetic,33,0.1214,0.4491,0.4987,0.2019,0.8083,0.6101,0.2316,0.381
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_waves-breaking-on-the-shore.jpg,89.0,11.0,ai-aesthetic,17,0.3984,0.5553,0.5792,0.1416,0.8175,0.6943,0.0379,0.3295
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_flooding-at-moret-1889.jpg,12.2,87.8,original-aesthetic,12,0.41,0.3881,0.6489,0.0575,0.7305,0.5719,0.1359,0.4387
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_rising-moon-st-ives-bay-cornwall.jpg,93.5,6.5,ai-aesthetic,11,0.2035,0.5623,0.7705,0.1472,0.8832,0.8474,0.0185,0.6702
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-981152299-184974.jpg,63.2,36.8,ai-aesthetic,18,0.3853,0.4675,0.5723,0.1641,0.7529,0.507,0.2494,0.1914
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/aleksander-gierymski_pa-florencki-1884.jpg,3.6,96.4,original-aesthetic,5,0.4541,0.6941,0.6197,0.0544,0.8709,0.7219,0.0872,0.5388
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-975801830-958084.jpg,47.6,52.4,original-aesthetic,23,0.2162,0.4531,0.3966,0.1355,0.8077,0.5781,0.2179,0.4439
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-959245863-301605.jpg,74.2,25.8,ai-aesthetic,30,0.1314,0.5161,0.4242,0.1759,0.8105,0.6379,0.1968,0.442
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-992430554-123404.jpg,44.1,55.9,original-aesthetic,24,0.2881,0.4572,0.4063,0.1438,0.7983,0.619,0.2343,0.5051
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_moonlight-st-ives-bay-cornwall-1937.jpg,73.0,27.0,ai-aesthetic,6,0.5054,0.545,0.6155,0.132,0.856,0.7164,0.0867,0.4477
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-989806651-468713.jpg,39.1,60.9,original-aesthetic,19,0.2804,0.493,0.4399,0.1919,0.7992,0.564,0.2104,0.219
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-aublet_sur-la-plage-le-treport.jpg,25.9,74.1,original-aesthetic,8,0.1971,0.7022,0.4678,0.1391,0.6627,0.6706,0.059,0.614
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-994268169-554650.jpg,69.1,30.9,ai-aesthetic,31,0.4941,0.4732,0.3616,0.1427,0.8017,0.5554,0.2533,0.333
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-998898171-406824.jpg,41.9,58.1,original-aesthetic,40,0.2615,0.4685,0.4504,0.1788,0.8034,0.5725,0.2784,0.2711
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-959116651-304831.jpg,46.8,53.2,original-aesthetic,41,0.4258,0.5237,0.4568,0.1889,0.8319,0.6413,0.2288,0.1167
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-96762552-80883.jpg,46.2,53.8,original-aesthetic,38,0.2944,0.5166,0.5811,0.1728,0.7573,0.5632,0.2054,0.024
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-998898171-188577.jpg,48.1,51.9,original-aesthetic,39,0.1174,0.472,0.3854,0.1481,0.8427,0.6425,0.2111,0.5443
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-992069961-9443.jpg,51.5,48.5,ai-aesthetic,22,0.4141,0.4554,0.3218,0.1226,0.8305,0.6536,0.1861,0.4336
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/adam-baltatu_houses-in-hu-i-1.jpg,5.8,94.2,original-aesthetic,20,0.4206,0.5881,0.4672,0.1552,0.8201,0.6308,0.1609,0.4961
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-989806651-632268.jpg,55.3,44.7,ai-aesthetic,32,0.6348,0.5623,0.35,0.1057,0.7607,0.4952,0.2657,0.0
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-988896763-76573.jpg,40.9,59.1,original-aesthetic,38,0.1169,0.5215,0.5139,0.2107,0.8034,0.5732,0.2562,0.3468
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_evening-st-ives-cornwall-1905.jpg,38.4,61.6,original-aesthetic,39,0.1254,0.4818,0.3815,0.1561,0.9026,0.8158,0.0074,0.3664
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alexander-belyaev_the-chief-study-2019.jpg,3.4,96.6,original-aesthetic,13,0.1067,0.573,0.3084,0.0969,0.797,0.6153,0.0715,0.8036
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-996746053-870219.jpg,52.9,47.1,ai-aesthetic,36,0.2181,0.6136,0.5123,0.1633,0.7617,0.5308,0.2256,0.4894
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_summer-sea-newquay-cornwall-1920.jpg,78.7,21.3,ai-aesthetic,19,0.1268,0.4156,0.7238,0.1002,0.9106,0.8701,0.0622,0.6623
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-962617140-419058.jpg,26.6,73.4,original-aesthetic,41,0.275,0.437,0.394,0.1201,0.8213,0.6149,0.2093,0.4617
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-977200879-540631.jpg,35.4,64.6,original-aesthetic,36,0.213,0.5783,0.5233,0.1684,0.8357,0.6259,0.2229,0.3271
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-978207477-978084.jpg,52.4,47.6,ai-aesthetic,27,0.1177,0.4383,0.5104,0.1883,0.7885,0.5958,0.2309,0.5963
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-96192948-469340.jpg,49.3,50.7,original-aesthetic,42,0.2087,0.5204,0.5578,0.1824,0.7674,0.525,0.248,0.4043
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_evening-in-moret-end-of-october-1888.jpg,20.3,79.7,original-aesthetic,19,0.0957,0.4084,0.6579,0.0756,0.8122,0.7712,0.1315,0.7704
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_morning-sun-saint-mammes-1884.jpg,12.2,87.8,original-aesthetic,13,0.2239,0.4983,0.7466,0.1833,0.8888,0.7981,0.1295,0.6625
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-998727809-36940.jpg,34.3,65.7,original-aesthetic,37,0.2108,0.4675,0.5869,0.1561,0.8292,0.6155,0.2153,0.3799
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_moonrise-on-the-bar-1901.jpg,43.9,56.1,original-aesthetic,7,0.5234,0.5004,0.7391,0.1813,0.8208,0.7129,0.0933,0.4731
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alejandro-cabeza_woman-with-jug-2000.jpg,9.5,90.5,original-aesthetic,15,0.1135,0.7208,0.6333,0.0636,0.7893,0.685,0.0335,0.8164
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_freshening-clouds.jpg,51.7,48.3,ai-aesthetic,13,0.1625,0.5111,0.5968,0.1705,0.8062,0.6938,0.0557,0.5851
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-978454222-799737.jpg,37.0,63.0,original-aesthetic,37,0.2151,0.5502,0.4644,0.1753,0.7867,0.5356,0.2489,0.259
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-959245863-348468.jpg,43.1,56.9,original-aesthetic,40,0.1075,0.478,0.4389,0.1792,0.7695,0.5222,0.2432,0.3877
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-998727809-893067.jpg,38.7,61.3,original-aesthetic,40,0.3225,0.5601,0.457,0.1633,0.7718,0.5365,0.2385,0.4063
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-989168102-10663.jpg,49.6,50.4,original-aesthetic,40,0.1057,0.4898,0.4068,0.1729,0.806,0.5985,0.2442,0.5167
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-998727809-769148.jpg,34.5,65.5,original-aesthetic,32,0.7548,0.4914,0.4696,0.2087,0.8119,0.5886,0.1965,0.1513
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-98237624-491527.jpg,56.6,43.4,ai-aesthetic,28,0.3515,0.4312,0.4226,0.1324,0.8187,0.6072,0.2408,0.1368
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-994383763-879444.jpg,46.7,53.3,original-aesthetic,30,0.1684,0.4345,0.5873,0.1286,0.8147,0.6016,0.1933,0.3737
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-98237624-410152.jpg,42.4,57.6,original-aesthetic,20,0.1512,0.4358,0.4434,0.1504,0.7953,0.567,0.2122,0.5371
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/adam-baltatu_spring-landscape.jpg,27.7,72.3,original-aesthetic,13,0.4154,0.5749,0.5657,0.1364,0.8296,0.6462,0.125,0.2145
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-998898171-396367.jpg,45.3,54.7,original-aesthetic,37,0.4485,0.4959,0.5515,0.1992,0.7679,0.5286,0.2269,0.1366
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-987738681-437284.jpg,27.8,72.2,original-aesthetic,27,0.4473,0.446,0.3981,0.13,0.8232,0.6165,0.2302,0.0634
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-985597162-695388.jpg,63.1,36.9,ai-aesthetic,30,0.4484,0.4794,0.4634,0.1956,0.8097,0.5802,0.2262,0.1498
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_a-turn-in-the-road-1885.jpg,28.5,71.5,original-aesthetic,25,0.8672,0.5099,0.5326,0.2063,0.7691,0.6676,0.1512,0.0
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_sablons-in-spring-1890.jpg,12.6,87.4,original-aesthetic,19,0.1463,0.3878,0.565,0.1154,0.8105,0.639,0.2116,0.7281
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-992069961-969744.jpg,72.9,27.1,ai-aesthetic,34,0.2956,0.5198,0.3809,0.1544,0.7934,0.5662,0.2397,0.432
impressionism,True,AI_SD_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_impressionism/3-989806651-908192.jpg,51.1,48.9,ai-aesthetic,41,0.1027,0.4188,0.4758,0.1661,0.7911,0.5583,0.2442,0.498
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_church-of-moret-1893.jpg,10.1,89.9,original-aesthetic,23,0.2253,0.6266,0.5296,0.1428,0.8672,0.7079,0.1642,0.5294
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_farm-to-h--C3--B6llenkaff-1874.jpg,20.6,79.4,original-aesthetic,8,0.1496,0.4509,0.6871,0.1193,0.7976,0.7337,0.0917,0.7713
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/adam-baltatu_pipkin-with-flowers.jpg,31.3,68.7,original-aesthetic,7,0.5312,0.4981,0.4781,0.2194,0.8747,0.7187,0.1047,0.394
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/alfred-sisley_path-in-the-country-1876.jpg,14.8,85.2,original-aesthetic,19,0.4128,0.452,0.6654,0.1187,0.75,0.59,0.1527,0.2987
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_off-the-needles-isle-of-wight-1905.jpg,69.4,30.6,ai-aesthetic,20,0.3281,0.5486,0.7452,0.1418,0.8248,0.7147,0.0848,0.62
impressionism,False,impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/impressionism/albert-julius-olsson_sunset-at-lands-end-cornwall.jpg,84.2,15.8,ai-aesthetic,29,0.1268,0.5352,0.706,0.1373,0.8847,0.8177,0.0294,0.5934
