style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adam-baltatu_houses-in-bretania.jpg,20.3,79.7,original-aesthetic,16,0.1991,0.4781,0.4932,0.2157,0.7327,0.6359,0.0693,0.6136
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-992422145-674482.jpg,40.4,59.6,original-aesthetic,36,0.2715,0.5125,0.4609,0.2001,0.7836,0.5101,0.2543,0.1689
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/agnes-goodsir_woman-in-an-interior.jpg,9.2,90.8,original-aesthetic,19,0.2517,0.5765,0.4991,0.1887,0.7501,0.5417,0.1211,0.589
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adalbert-erdeli_engaged-1953.jpg,0.8,99.2,original-aesthetic,15,0.1369,0.5774,0.4036,0.1136,0.7366,0.4994,0.1264,0.71
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adam-baltatu_mangalia-houses.jpg,4.1,95.9,original-aesthetic,16,0.1367,0.5238,0.4747,0.201,0.7835,0.6102,0.085,0.5189
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/abraham-manievich_autumn.jpg,2.7,97.3,original-aesthetic,28,0.2027,0.4764,0.3886,0.1534,0.8123,0.6361,0.2447,0.3559
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-998600946-41648.jpg,62.6,37.4,ai-aesthetic,28,0.7266,0.4949,0.4777,0.2166,0.8572,0.6941,0.1858,0.0415
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/a-y-jackson_houses-st-urbain-1934.jpg,9.1,90.9,original-aesthetic,16,0.1635,0.3792,0.4908,0.164,0.7378,0.4964,0.1665,0.6302
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adam-baltatu_winter-at-hu-i.jpg,8.9,91.1,original-aesthetic,13,0.3453,0.4557,0.4996,0.2064,0.8073,0.6363,0.1232,0.3596
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adalbert-erdeli_flowers-in-a-vase.jpg,7.5,92.5,original-aesthetic,7,0.521,0.4707,0.5308,0.1932,0.799,0.5775,0.1645,0.3274
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-994047784-546059.jpg,45.4,54.6,original-aesthetic,40,0.3543,0.5089,0.3769,0.1637,0.7845,0.5669,0.2355,0.3759
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-998232198-984025.jpg,26.1,73.9,original-aesthetic,31,0.3106,0.4026,0.444,0.1306,0.8356,0.6536,0.2371,0.2552
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/abraham-manievich_fall-scene.jpg,17.8,82.2,original-aesthetic,23,0.5029,0.5274,0.4254,0.167,0.8554,0.7175,0.1438,0.2056
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/abraham-manievich_birch-trees-1911.jpg,10.7,89.3,original-aesthetic,30,0.2528,0.4021,0.3366,0.0689,0.8701,0.7398,0.2276,0.511
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/albert-huie_the-counting-lesson-1938.jpg,0.7,99.3,original-aesthetic,8,0.1494,0.5278,0.6575,0.1392,0.7352,0.5869,0.1364,0.8065
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-995560778-181250.jpg,18.0,82.0,original-aesthetic,29,0.3271,0.5237,0.3714,0.1479,0.8027,0.5725,0.2498,0.2234
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-995560778-58778.jpg,37.7,62.3,original-aesthetic,24,0.1898,0.5112,0.3593,0.1577,0.8107,0.5978,0.2785,0.343
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-98772585-295857.jpg,41.0,59.0,original-aesthetic,40,0.1512,0.5248,0.439,0.1769,0.7992,0.5641,0.2594,0.4233
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adam-baltatu_houses-at-the-edge-of-the-forest.jpg,16.4,83.6,original-aesthetic,6,0.6172,0.4974,0.3076,0.166,0.6899,0.6316,0.0737,0.3717
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adalbert-erdeli_cityscape.jpg,4.3,95.7,original-aesthetic,14,0.5664,0.4406,0.548,0.16,0.8043,0.6654,0.1313,0.1972
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-98608200-26056.jpg,43.1,56.9,original-aesthetic,30,0.6533,0.437,0.6404,0.107,0.8398,0.6507,0.2199,0.1093
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/agnes-goodsir_a-cup-of-tea.jpg,24.1,75.9,original-aesthetic,16,0.1772,0.4796,0.3663,0.1499,0.7734,0.5747,0.1463,0.6058
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-994073524-944714.jpg,25.6,74.4,original-aesthetic,27,0.4414,0.4408,0.3346,0.1075,0.8249,0.634,0.2388,0.3449
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/agnes-lawrence-pelton_vine-wood-1913.jpg,6.7,93.3,original-aesthetic,20,0.1709,0.6518,0.3568,0.0278,0.7935,0.6238,0.162,0.5928
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adalbert-erdeli_portrait-of-an-uknown-woman-in-black.jpg,2.0,98.0,original-aesthetic,8,0.3833,0.4341,0.4498,0.154,0.7235,0.4916,0.0766,0.4444
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-988644880-793615.jpg,36.0,64.0,original-aesthetic,31,0.3172,0.4215,0.4024,0.112,0.8045,0.5743,0.2626,0.2235
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/a-y-jackson_march-storm-georgian-bay-1920.jpg,45.4,54.6,original-aesthetic,15,0.4688,0.5236,0.5022,0.218,0.8342,0.6806,0.0576,0.3772
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-99986217-454323.jpg,48.7,51.3,original-aesthetic,35,0.3195,0.4741,0.4918,0.212,0.8208,0.582,0.2735,0.2966
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/albert-marquet_carnival-on-the-beach-1906.jpg,0.9,99.1,original-aesthetic,17,0.7617,0.4991,0.5786,0.1877,0.6498,0.4176,0.1987,0.0725
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adam-baltatu_dobrujan-landscape.jpg,1.9,98.1,original-aesthetic,25,0.047,0.4546,0.5688,0.1558,0.7951,0.6236,0.1921,0.794
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-983705306-844722.jpg,49.4,50.6,original-aesthetic,32,0.4495,0.4766,0.4481,0.1835,0.846,0.6478,0.2147,0.2237
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-984333798-725502.jpg,21.0,79.0,original-aesthetic,36,0.1595,0.3983,0.5185,0.1618,0.7931,0.5482,0.2061,0.4613
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/albert-marquet_house-at-saint-tropez-1905.jpg,15.9,84.1,original-aesthetic,9,0.1941,0.4399,0.5934,0.1293,0.7041,0.4763,0.067,0.5559
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/abraham-manievich_rural-landscape-1921.jpg,47.2,52.8,original-aesthetic,35,0.3217,0.5905,0.3258,0.0765,0.8565,0.701,0.2375,0.394
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adalbert-erdeli_still-life-with-lemons-1955.jpg,12.1,87.9,original-aesthetic,19,0.4951,0.4795,0.6188,0.1538,0.8362,0.6741,0.1038,0.2589
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-994073524-568735.jpg,37.4,62.6,original-aesthetic,28,0.4629,0.5428,0.4317,0.1581,0.7913,0.5487,0.2441,0.2671
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-994073524-436256.jpg,43.3,56.7,original-aesthetic,38,0.1928,0.5352,0.4776,0.1952,0.8141,0.6058,0.2385,0.4323
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adam-baltatu_br-ne-ti-landscape.jpg,25.8,74.2,original-aesthetic,15,0.2057,0.588,0.5416,0.1477,0.7934,0.5523,0.1368,0.4826
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-981822891-238162.jpg,30.9,69.1,original-aesthetic,20,0.4716,0.4889,0.3811,0.1627,0.8414,0.6397,0.2266,0.2439
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-992422145-221949.jpg,56.3,43.7,ai-aesthetic,38,0.2172,0.4583,0.4865,0.1977,0.7879,0.5756,0.2666,0.2304
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-998600946-250161.jpg,28.5,71.5,original-aesthetic,23,0.644,0.4576,0.4266,0.1554,0.7855,0.5263,0.2224,0.2037
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adalbert-erdeli_summer.jpg,18.1,81.9,original-aesthetic,9,0.9336,0.4841,0.5388,0.1977,0.7875,0.5683,0.1773,0.0273
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/abraham-manievich_street-in-a-provincial-town-1915.jpg,5.4,94.6,original-aesthetic,32,0.4929,0.4001,0.4219,0.111,0.8285,0.6058,0.3033,0.312
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-969205316-448794.jpg,36.0,64.0,original-aesthetic,28,0.3713,0.5269,0.5328,0.1935,0.7672,0.5208,0.244,0.1946
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/abraham-manievich_still-life-1930.jpg,5.0,95.0,original-aesthetic,5,0.7585,0.466,0.4091,0.1528,0.8424,0.6346,0.157,0.2346
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adam-baltatu_grange.jpg,5.7,94.3,original-aesthetic,33,0.2199,0.5368,0.4487,0.1737,0.7878,0.5199,0.2303,0.4125
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-98594223-130972.jpg,33.7,66.3,original-aesthetic,31,0.6348,0.4645,0.3722,0.1368,0.8063,0.5961,0.194,0.1666
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/albert-huie_untitled-portrait.jpg,1.0,99.0,original-aesthetic,18,0.4913,0.4998,0.4775,0.2202,0.855,0.7202,0.1156,0.3632
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/a-y-jackson_maple-woods-algoma-1920.jpg,32.0,68.0,original-aesthetic,34,0.2066,0.4916,0.4673,0.2074,0.8742,0.7265,0.1779,0.4362
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-971552350-417348.jpg,33.3,66.7,original-aesthetic,47,0.235,0.4051,0.3542,0.0747,0.8173,0.5983,0.2334,0.6171
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-990458999-550407.jpg,32.7,67.3,original-aesthetic,27,0.4118,0.4741,0.4698,0.1961,0.7585,0.4964,0.2328,0.1972
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-96237553-275489.jpg,26.8,73.2,original-aesthetic,26,0.3181,0.4917,0.4605,0.2031,0.7829,0.5155,0.2348,0.2497
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-998600946-327454.jpg,45.3,54.7,original-aesthetic,43,0.3435,0.4792,0.3373,0.1459,0.7767,0.6151,0.2442,0.4021
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/albert-huie_the-water-carrier.jpg,4.1,95.9,original-aesthetic,8,0.4816,0.6333,0.4893,0.1595,0.7813,0.6534,0.1168,0.3693
post_impressionism,True,AI_SD_post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-987874377-907257.jpg,27.4,72.6,original-aesthetic,27,0.2197,0.4974,0.4376,0.1944,0.8051,0.5824,0.1917,0.4522
post_impressionism,False,post_impressionism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/post_impressionism/adalbert-erdeli_naked-1930.jpg,3.2,96.8,original-aesthetic,33,0.2151,0.6581,0.4798,0.1467,0.7324,0.4724,0.1941,0.5583
