style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_still-life-with-rhododendron-1886.jpg,34.0,66.0,original-aesthetic,6,0.2065,0.5316,0.4706,0.1925,0.6992,0.5631,0.0694,0.6625
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abdullah-suriosubroto_indonesian-landscape-2.jpg,46.3,53.7,original-aesthetic,13,0.2897,0.516,0.5868,0.1705,0.8557,0.8185,0.0501,0.674
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-eberle_glaspalast-1888-029-1888.jpg,5.9,94.1,original-aesthetic,11,0.4263,0.462,0.5274,0.1896,0.8241,0.6068,0.1778,0.5486
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-996575469-378393.jpg,36.2,63.8,original-aesthetic,4,0.4352,0.347,0.3961,0.0643,0.8138,0.7475,0.0101,0.5144
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-993893396-477840.jpg,9.4,90.6,original-aesthetic,16,0.0706,0.4534,0.4563,0.1718,0.7858,0.5421,0.0333,0.6412
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-hiremy-hirschl_two-studies-of-a-kneeling-youth.jpg,10.6,89.4,original-aesthetic,22,0.9375,0.482,0.4942,0.2191,0.9443,0.9332,0.0286,0.0
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abdullah-suriosubroto_landscape-mountain.jpg,50.8,49.2,ai-aesthetic,17,0.1806,0.5247,0.6664,0.1419,0.7964,0.6561,0.1153,0.4577
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/achille-dorsi_monument-to-king-umberto-i-of-italy.jpg,40.3,59.7,original-aesthetic,12,0.2557,0.3521,0.5205,0.1474,0.7656,0.5201,0.178,0.4147
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-990745670-967478.jpg,12.1,87.9,original-aesthetic,16,0.3906,0.521,0.5673,0.1763,0.7652,0.5811,0.0834,0.3254
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-991811242-806272.jpg,25.2,74.8,original-aesthetic,16,0.1043,0.5751,0.5754,0.1293,0.8053,0.5819,0.0433,0.6685
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-979415894-47276.jpg,29.9,70.1,original-aesthetic,20,0.2969,0.3931,0.425,0.1094,0.7447,0.5695,0.0584,0.5827
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_concert-of-bilse-1871.jpg,31.4,68.6,original-aesthetic,16,0.5938,0.5125,0.6996,0.1577,0.7479,0.6099,0.2303,0.2372
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997141624-825741.jpg,11.9,88.1,original-aesthetic,12,0.303,0.5331,0.5513,0.1765,0.7738,0.6316,0.058,0.4778
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997947416-647508.jpg,78.7,21.3,ai-aesthetic,17,0.0891,0.4736,0.5155,0.2062,0.8293,0.6878,0.0485,0.6791
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-990358102-929532.jpg,20.0,80.0,original-aesthetic,12,0.1374,0.4477,0.4645,0.1741,0.7994,0.6141,0.1076,0.613
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abdullah-suriosubroto_indonesian-landscape-6.jpg,78.4,21.6,ai-aesthetic,9,0.4102,0.4881,0.6302,0.159,0.815,0.6583,0.0804,0.5054
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/albert-anker_bildnis-eines-knaben-walter-stucki-1891.jpg,10.0,90.0,original-aesthetic,8,0.2698,0.5076,0.5623,0.1903,0.8843,0.831,0.032,0.4111
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/achille-dorsi_neapolitan-brat.jpg,14.0,86.0,original-aesthetic,5,0.4878,0.5217,0.4752,0.2029,0.8566,0.7735,0.0369,0.343
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-eberle_visiting-grandfather-1887.jpg,1.6,98.4,original-aesthetic,11,0.3297,0.4459,0.5241,0.1817,0.7345,0.5474,0.2062,0.5302
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-987046178-886575.jpg,30.0,70.0,original-aesthetic,15,0.1179,0.4049,0.228,0.1273,0.7812,0.6327,0.0649,0.7284
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-996575469-791666.jpg,11.9,88.1,original-aesthetic,4,0.2559,0.18,0.4379,0.1855,0.7686,0.6415,0.047,0.7402
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_the-coronation-of-king-william-i-in-koenigsberg-in-1861-1861-65-c.jpg,44.6,55.4,original-aesthetic,22,0.2929,0.4622,0.529,0.1886,0.8078,0.6104,0.1891,0.6263
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-982562098-623089.jpg,27.3,72.7,original-aesthetic,14,0.053,0.6399,0.4184,0.0892,0.8206,0.6011,0.0525,0.8017
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-98516193-644377.jpg,12.1,87.9,original-aesthetic,15,0.396,0.3691,0.4949,0.1655,0.7266,0.5478,0.0613,0.4264
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-986839380-556703.jpg,3.6,96.4,original-aesthetic,6,0.3164,0.6966,0.4571,0.1273,0.8119,0.6627,0.0318,0.5764
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abdullah-suriosubroto_indonesian-landscape-4.jpg,73.8,26.2,ai-aesthetic,12,0.3338,0.4544,0.3555,0.1231,0.8242,0.7155,0.0116,0.4613
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-969222203-784131.jpg,22.1,77.9,original-aesthetic,14,0.1398,0.4681,0.5534,0.176,0.7575,0.6108,0.0445,0.5555
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-994389925-10790.jpg,23.1,76.9,original-aesthetic,10,0.2192,0.3521,0.5305,0.1374,0.8032,0.6299,0.0402,0.5473
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-993825892-846275.jpg,14.4,85.6,original-aesthetic,18,0.0794,0.519,0.4878,0.2137,0.8525,0.6733,0.0324,0.7959
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-98244462-807908.jpg,14.7,85.3,original-aesthetic,10,0.2193,0.3515,0.5577,0.1105,0.8019,0.6401,0.0964,0.7262
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-991296962-352897.jpg,11.4,88.6,original-aesthetic,11,0.3913,0.4578,0.5566,0.1661,0.8054,0.6319,0.0265,0.4242
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abdullah-suriosubroto_paddy-field.jpg,47.7,52.3,original-aesthetic,23,0.1332,0.5411,0.368,0.1303,0.8183,0.7744,0.1245,0.5995
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-994389925-471933.jpg,17.4,82.6,original-aesthetic,7,0.3981,0.6567,0.5217,0.1453,0.7771,0.5782,0.0343,0.485
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_my-children-1897.jpg,4.5,95.5,original-aesthetic,12,0.4206,0.5004,0.4163,0.1859,0.8131,0.7291,0.0887,0.5383
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-985068055-959078.jpg,12.2,87.8,original-aesthetic,11,0.3907,0.6319,0.5513,0.1205,0.7754,0.6419,0.0332,0.4334
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-977978944-326448.jpg,15.8,84.2,original-aesthetic,9,0.0614,0.3485,0.5444,0.1232,0.7895,0.633,0.0406,0.8146
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_jessie-jay-burge-1880.jpg,6.3,93.7,original-aesthetic,3,0.1071,0.5358,0.3862,0.1411,0.8622,0.7512,0.0201,0.7781
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-960503293-375654.jpg,6.0,94.0,original-aesthetic,7,0.2268,0.5106,0.5034,0.2258,0.8015,0.6609,0.021,0.4983
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-eberle_an-uninvited-guest-1889.jpg,2.6,97.4,original-aesthetic,20,0.4384,0.4472,0.6662,0.1138,0.8019,0.5797,0.2635,0.5057
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/albert-anker_das-m-dchen-mit-den-dominosteinen-tondo.jpg,39.6,60.4,original-aesthetic,12,0.4303,0.5023,0.4886,0.2261,0.8292,0.6356,0.1143,0.1412
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-986957510-573240.jpg,3.2,96.8,original-aesthetic,9,0.3476,0.4104,0.6067,0.0977,0.8103,0.6184,0.0668,0.5248
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-990745670-647043.jpg,7.3,92.7,original-aesthetic,8,0.1062,0.3955,0.2807,0.0815,0.8517,0.7138,0.014,0.8342
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adalbert-erdeli_seating-model-1913.jpg,1.3,98.7,original-aesthetic,8,0.1929,0.4844,0.5677,0.1806,0.932,0.8628,0.0703,0.5655
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-hiremy-hirschl_a-male-nude-leaning-forward-holding-a-bar.jpg,16.3,83.7,original-aesthetic,7,0.1643,0.4822,0.4404,0.1833,0.9738,0.9676,0.0079,0.7477
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_the-studio-wall-1872.jpg,14.1,85.9,original-aesthetic,15,0.1812,0.4495,0.528,0.1809,0.812,0.6274,0.1103,0.4468
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997947646-740995.jpg,3.8,96.2,original-aesthetic,22,0.1295,0.4863,0.5688,0.1816,0.7764,0.5104,0.0934,0.5337
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-985851063-551436.jpg,8.4,91.6,original-aesthetic,7,0.0732,0.3857,0.4094,0.0924,0.7857,0.5891,0.0421,0.8572
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_road-at-nantucket-1881.jpg,42.8,57.2,original-aesthetic,15,0.1067,0.3867,0.6481,0.0565,0.6973,0.6713,0.0223,0.7756
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997947646-845563.jpg,14.2,85.8,original-aesthetic,16,0.0711,0.5048,0.2144,0.2009,0.809,0.5999,0.0392,0.8248
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_a-mustachieod-gentleman-in-profile-three-studies.jpg,0.7,99.3,original-aesthetic,14,0.1634,0.4995,0.4297,0.1921,0.8521,0.7044,0.1123,0.6123
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-hiremy-hirschl_studio-di-bambino-in-piedi-con-le-braccia-alzate.jpg,6.0,94.0,original-aesthetic,8,0.1913,0.5282,0.4311,0.1695,0.944,0.9258,0.0277,0.6729
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997747546-763459.jpg,20.1,79.9,original-aesthetic,7,0.0979,0.3106,0.6132,0.0581,0.7242,0.5184,0.0195,0.8075
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-eberle_a-successful-hunt.jpg,7.3,92.7,original-aesthetic,14,0.3604,0.4896,0.6349,0.1594,0.7923,0.5459,0.1341,0.4213
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_a-virgin-study-1891.jpg,1.6,98.4,original-aesthetic,7,0.1355,0.5434,0.5671,0.1585,0.8062,0.6221,0.1288,0.5655
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_girl-on-a-sofa-5-november-1848.jpg,1.6,98.4,original-aesthetic,6,0.2659,0.6583,0.5629,0.1041,0.9162,0.8346,0.0641,0.5965
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_crown-prince-friedrich-wilhelm-of-prussia-1868.jpg,12.0,88.0,original-aesthetic,17,0.0707,0.7145,0.3427,0.0488,0.8378,0.7132,0.0476,0.8068
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_monadnock-angel-1921.jpg,8.8,91.2,original-aesthetic,14,0.3518,0.4426,0.4607,0.1679,0.8168,0.6133,0.1148,0.5056
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/achille-dorsi_boy-with-a-fish.jpg,12.5,87.5,original-aesthetic,7,0.1241,0.4774,0.4722,0.2001,0.9307,0.9005,0.0302,0.7907
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_couple-with-waiter-study.jpg,0.7,99.3,original-aesthetic,22,0.3059,0.5563,0.5538,0.1579,0.857,0.7115,0.0902,0.373
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-996360604-708664.jpg,6.8,93.2,original-aesthetic,8,0.5195,0.5175,0.4735,0.2047,0.8148,0.6518,0.0212,0.4189
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-996360604-58745.jpg,21.1,78.9,original-aesthetic,13,0.2694,0.4379,0.4797,0.1799,0.8558,0.7446,0.0361,0.5018
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-983420948-998060.jpg,67.4,32.6,ai-aesthetic,10,0.1299,0.463,0.5465,0.1768,0.8314,0.6899,0.0371,0.7635
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-986957510-293640.jpg,23.3,76.7,original-aesthetic,11,0.1859,0.5453,0.5317,0.1815,0.8339,0.7042,0.0429,0.7098
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_portrait-of-bessie-price-1897.jpg,9.9,90.1,original-aesthetic,7,0.1625,0.4612,0.6176,0.137,0.8755,0.8314,0.0333,0.6352
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-982562098-497335.jpg,2.9,97.1,original-aesthetic,5,0.2441,0.2331,0.524,0.1743,0.8267,0.7499,0.0377,0.5766
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/achille-dorsi_pathos.jpg,26.4,73.6,original-aesthetic,13,0.1299,0.4901,0.5318,0.2068,0.8288,0.6727,0.0651,0.6929
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-eberle_feeding-the-sheep.jpg,8.6,91.4,original-aesthetic,10,0.1617,0.5463,0.6239,0.1277,0.8591,0.7121,0.1039,0.7231
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997947646-573782.jpg,4.9,95.1,original-aesthetic,9,0.0607,0.6499,0.2178,0.1167,0.8532,0.7106,0.0217,0.9231
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_aufbahrung-der-m-rzgefallenen-1848.jpg,16.2,83.8,original-aesthetic,18,0.4948,0.5361,0.722,0.1418,0.7855,0.5335,0.206,0.4011
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-hiremy-hirschl_seated-female-nude-1915.jpg,2.1,97.9,original-aesthetic,10,0.0598,0.4286,0.5277,0.1685,0.8824,0.763,0.051,0.7748
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-99053865-316517.jpg,62.0,38.0,ai-aesthetic,14,0.2562,0.4302,0.6919,0.1001,0.7892,0.5665,0.0358,0.5675
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/achille-dorsi_heavy-bread.jpg,6.7,93.3,original-aesthetic,3,0.4296,0.5062,0.4787,0.2166,0.889,0.7917,0.0715,0.4957
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_brother-and-sister-1889.jpg,6.8,93.2,original-aesthetic,3,0.0794,0.6539,0.6154,0.0528,0.8788,0.8094,0.0383,0.8355
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-95762105-765251.jpg,61.7,38.3,ai-aesthetic,16,0.544,0.4841,0.6751,0.151,0.8116,0.6228,0.0803,0.3787
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-eberle_with-the-music-1885.jpg,1.1,98.9,original-aesthetic,12,0.4486,0.5339,0.4993,0.2125,0.7714,0.5499,0.1591,0.4684
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997947416-13606.jpg,12.2,87.8,original-aesthetic,11,0.2049,0.59,0.4023,0.1031,0.843,0.6527,0.0317,0.6014
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-hiremy-hirschl_three-studies-for-pan-1900.jpg,0.8,99.2,original-aesthetic,16,0.05,0.4697,0.5016,0.2142,0.8724,0.7355,0.0513,0.7658
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-995670826-587509.jpg,3.5,96.5,original-aesthetic,10,0.1912,0.4282,0.426,0.1326,0.7899,0.6411,0.0459,0.6647
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-hiremy-hirschl_head-of-a-young-girl-1900.jpg,2.8,97.2,original-aesthetic,8,0.0624,0.5116,0.3313,0.155,0.9323,0.8681,0.012,0.8461
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-991811242-62696.jpg,24.3,75.7,original-aesthetic,12,0.0725,0.4491,0.4572,0.1695,0.8264,0.7379,0.0111,0.8618
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-964322882-242958.jpg,23.7,76.3,original-aesthetic,16,0.3003,0.5972,0.5619,0.1257,0.8362,0.6614,0.0512,0.609
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997747546-754641.jpg,8.6,91.4,original-aesthetic,16,0.3485,0.6399,0.3489,0.0309,0.8033,0.6213,0.036,0.5584
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-992594282-949393.jpg,11.2,88.8,original-aesthetic,13,0.1355,0.2965,0.4191,0.0933,0.706,0.4761,0.0591,0.7179
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_commander-with-soldiers.jpg,0.4,99.6,original-aesthetic,3,0.1631,0.4636,0.549,0.1756,0.9274,0.871,0.0702,0.7782
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-96928055-607759.jpg,8.7,91.3,original-aesthetic,13,0.2009,0.3668,0.6703,0.0336,0.7974,0.6188,0.0284,0.6831
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_study-of-alma-wollerman-1908.jpg,2.0,98.0,original-aesthetic,8,0.2268,0.4492,0.5688,0.1517,0.727,0.6257,0.0485,0.6375
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_building-site-with-willows-1846.jpg,46.6,53.4,original-aesthetic,30,0.0737,0.4945,0.5199,0.218,0.829,0.6301,0.2039,0.7289
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-hiremy-hirschl_solitudine-1912.jpg,4.5,95.5,original-aesthetic,5,0.0265,0.2991,0.4185,0.0918,0.9512,0.9196,0.0129,0.9625
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997747546-783019.jpg,22.6,77.4,original-aesthetic,10,0.4531,0.5161,0.5474,0.192,0.7519,0.5739,0.0791,0.4004
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_peacock-in-the-woods-1907.jpg,42.8,57.2,original-aesthetic,25,0.255,0.638,0.4361,0.1067,0.8937,0.7911,0.166,0.4817
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-99053865-657897.jpg,9.3,90.7,original-aesthetic,21,0.1642,0.5768,0.4788,0.1709,0.7722,0.5505,0.0527,0.5138
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_the-angel-1903.jpg,3.9,96.1,original-aesthetic,19,0.2148,0.5645,0.6143,0.1148,0.8203,0.6929,0.0634,0.5479
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-997947416-611675.jpg,9.2,90.8,original-aesthetic,11,0.6719,0.4994,0.4863,0.2258,0.8573,0.7252,0.027,0.2581
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-986552599-436147.jpg,39.7,60.3,original-aesthetic,13,0.4487,0.4596,0.4288,0.1583,0.8224,0.6569,0.0436,0.4526
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-966938839-41455.jpg,7.6,92.4,original-aesthetic,16,0.1127,0.4699,0.5488,0.1804,0.7811,0.5785,0.0621,0.416
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolf-eberle_wedding-procession-1882.jpg,11.0,89.0,original-aesthetic,18,0.4175,0.4632,0.5756,0.1587,0.8492,0.6612,0.1414,0.4529
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-96928055-782505.jpg,36.9,63.1,original-aesthetic,17,0.3633,0.5154,0.4856,0.2146,0.7781,0.5685,0.0749,0.4971
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_tigers-head-1874.jpg,40.3,59.7,original-aesthetic,5,0.1539,0.3468,0.4089,0.0767,0.9084,0.8359,0.0662,0.8427
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-995670826-709431.jpg,11.9,88.1,original-aesthetic,6,0.1698,0.4533,0.511,0.1965,0.8425,0.7876,0.048,0.6675
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-996360604-835799.jpg,68.4,31.6,ai-aesthetic,9,0.1083,0.3444,0.7897,0.1235,0.8322,0.6943,0.0205,0.8753
realism,True,AI_SD_realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_realism/5-976027267-277920.jpg,39.9,60.1,original-aesthetic,8,0.0941,0.4576,0.6859,0.1258,0.769,0.5956,0.0321,0.7434
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_a-study-of-an-old-woman-1890.jpg,2.1,97.9,original-aesthetic,12,0.2262,0.3393,0.4596,0.1264,0.7972,0.6278,0.0476,0.6376
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/abbott-handerson-thayer_seated-angel-1921.jpg,9.1,90.9,original-aesthetic,9,0.1621,0.4119,0.3812,0.092,0.829,0.6508,0.0903,0.7659
realism,False,realism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/realism/adolph-menzel_living-room-with-the-artist-s-sister-1847.jpg,3.5,96.5,original-aesthetic,9,0.0744,0.5135,0.7001,0.1568,0.8211,0.685,0.0664,0.8629
