style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio,has_face
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-piero-di-lorenzo-de-medici.jpg,6.1,93.9,original-aesthetic,7,0.2348,0.3891,0.6164,0.0751,0.8279,0.6713,0.0792,0.7012,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-989830401-799365.jpg,14.3,85.7,original-aesthetic,15,0.1951,0.5316,0.6418,0.1373,0.763,0.5705,0.1228,0.5578,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-999917593-359248.jpg,50.1,49.9,ai-aesthetic,19,0.2144,0.4918,0.4742,0.212,0.7485,0.4792,0.1388,0.5895,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_holy-night-nativity-1511.jpg,17.0,83.0,original-aesthetic,25,0.1346,0.4877,0.5564,0.1897,0.7791,0.5503,0.193,0.3916,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-996103188-592138.jpg,18.5,81.5,original-aesthetic,16,0.0982,0.456,0.6027,0.1384,0.7651,0.5554,0.1254,0.6767,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_madonna-beautiful-maria-of-regensburg-1522.jpg,4.0,96.0,original-aesthetic,6,0.2998,0.4108,0.4112,0.1098,0.7983,0.6729,0.0995,0.5117,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-994893787-203362.jpg,33.0,67.0,original-aesthetic,13,0.4771,0.5142,0.5656,0.1829,0.6948,0.5101,0.1595,0.3025,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-995657175-101944.jpg,23.3,76.7,original-aesthetic,23,0.2424,0.4348,0.3834,0.1131,0.6891,0.4225,0.163,0.2163,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_the-dead-christ-with-the-virgin-and-st-mary-magdalene-1530.jpg,3.2,96.8,original-aesthetic,15,0.1219,0.4773,0.6671,0.144,0.8146,0.6546,0.1048,0.6845,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-andrea-doria-as-neptune.jpg,7.6,92.4,original-aesthetic,13,0.1752,0.6357,0.3731,0.0504,0.7511,0.5828,0.0654,0.7476,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-998573905-512326.jpg,16.5,83.5,original-aesthetic,17,0.2167,0.5274,0.3558,0.1411,0.7596,0.5495,0.1273,0.5757,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/adam-van-noort_christ-blesses-the-children.jpg,28.4,71.6,original-aesthetic,11,0.2655,0.4851,0.5509,0.1908,0.9061,0.7962,0.0692,0.539,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-976869038-734883.jpg,26.4,73.6,original-aesthetic,12,0.141,0.5133,0.6958,0.1561,0.7158,0.5396,0.1051,0.7175,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_landscape.jpg,6.0,94.0,original-aesthetic,37,0.4504,0.4617,0.4273,0.1591,0.7099,0.4401,0.3264,0.2134,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_an-allegory-with-venus-and-cupid.jpg,53.2,46.8,ai-aesthetic,19,0.1899,0.4328,0.4642,0.1644,0.7325,0.5127,0.1243,0.4544,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-992540663-767905.jpg,28.0,72.0,original-aesthetic,21,0.1133,0.3891,0.4342,0.1153,0.7412,0.5658,0.105,0.7588,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_mary-in-glory-1526.jpg,23.7,76.3,original-aesthetic,16,0.4779,0.5098,0.5595,0.19,0.8365,0.7788,0.1021,0.2505,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_nativity-1507.jpg,25.9,74.1,original-aesthetic,12,0.1235,0.5368,0.7776,0.1708,0.8641,0.726,0.1704,0.7265,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-998573905-870494.jpg,28.6,71.4,original-aesthetic,21,0.2173,0.4161,0.4792,0.1677,0.7243,0.5024,0.1688,0.5657,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-997417807-911553.jpg,24.7,75.3,original-aesthetic,22,0.133,0.395,0.5818,0.1049,0.7426,0.5794,0.1211,0.5319,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-992540663-881282.jpg,19.3,80.7,original-aesthetic,22,0.2695,0.5861,0.5305,0.1582,0.7471,0.5014,0.2472,0.4609,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_galatea-and-pygmalion.jpg,17.5,82.5,original-aesthetic,16,0.2806,0.4411,0.628,0.1145,0.8598,0.6973,0.1144,0.4356,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_alessandro-de-medici.jpg,7.6,92.4,original-aesthetic,3,0.1947,0.4568,0.7229,0.1357,0.9006,0.8151,0.0363,0.7666,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_emperor-maximilian-triumphal-1515-1.jpg,0.5,99.5,original-aesthetic,17,0.2061,0.5147,0.6005,0.1658,0.7423,0.4855,0.2475,0.5028,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-997417807-976887.jpg,32.5,67.5,original-aesthetic,14,0.2434,0.4757,0.3918,0.1539,0.7385,0.5538,0.1481,0.4251,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-995657175-887459.jpg,9.5,90.5,original-aesthetic,14,0.1728,0.4592,0.4287,0.158,0.7524,0.5025,0.1228,0.5517,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-983975036-634220.jpg,14.2,85.8,original-aesthetic,11,0.3808,0.4481,0.5087,0.1952,0.6816,0.5287,0.143,0.2351,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-988890267-247956.jpg,26.5,73.5,original-aesthetic,9,0.6582,0.49,0.6562,0.157,0.7484,0.5072,0.2241,0.2921,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-998573905-575499.jpg,30.8,69.2,original-aesthetic,17,0.1808,0.5643,0.5864,0.13,0.7632,0.5392,0.1394,0.579,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_allegory-of-happiness-1564.jpg,38.8,61.2,original-aesthetic,26,0.1406,0.5212,0.5828,0.1679,0.8011,0.5698,0.1349,0.5467,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-983394944-902217.jpg,11.4,88.6,original-aesthetic,19,0.2853,0.5746,0.465,0.1606,0.7353,0.5794,0.1319,0.442,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-994246359-601072.jpg,11.1,88.9,original-aesthetic,13,0.4233,0.5261,0.5184,0.2043,0.7107,0.4484,0.1786,0.3476,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_alpine-landscape-with-church-1522.jpg,11.9,88.1,original-aesthetic,20,0.3881,0.348,0.5337,0.1338,0.8229,0.7016,0.1752,0.401,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-996670302-460425.jpg,31.2,68.8,original-aesthetic,10,0.7914,0.427,0.5305,0.1653,0.7221,0.4627,0.1169,0.1356,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_passion-of-christ-4.jpg,4.5,95.5,original-aesthetic,19,0.6719,0.5101,0.5346,0.2048,0.768,0.5464,0.2261,0.0,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-eleonora-da-toledo.jpg,6.2,93.8,original-aesthetic,15,0.1861,0.3961,0.4448,0.1279,0.8379,0.6563,0.1665,0.4084,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-982487100-440791.jpg,20.7,79.3,original-aesthetic,22,0.2593,0.6442,0.5975,0.0727,0.6853,0.4987,0.1372,0.3929,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-988890267-648346.jpg,30.2,69.8,original-aesthetic,20,0.2138,0.4561,0.4597,0.1762,0.7455,0.5564,0.1529,0.4448,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_martyrdom-of-st-lawrence-1569.jpg,33.1,66.9,original-aesthetic,39,0.0972,0.4806,0.6261,0.1528,0.8046,0.588,0.2569,0.4234,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/adam-van-noort_lot-and-his-daughters.jpg,14.5,85.5,original-aesthetic,10,0.1657,0.4972,0.501,0.233,0.8357,0.6757,0.0644,0.6017,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_ascension-christ.jpg,8.4,91.6,original-aesthetic,11,0.1792,0.2437,0.3002,0.0956,0.8149,0.7538,0.0498,0.7641,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_noli-me-tangere-1561.jpg,10.4,89.6,original-aesthetic,13,0.1621,0.5116,0.4832,0.2157,0.7741,0.5704,0.1151,0.4439,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-guidubaldo-della-rovere-1532.jpg,10.0,90.0,original-aesthetic,9,0.032,0.4556,0.6247,0.1293,0.9182,0.8654,0.0844,0.8697,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_crucifixion-scene-christ-on-the-cross-with-mary-and-john-1516.jpg,16.3,83.7,original-aesthetic,22,0.4438,0.4321,0.4977,0.1918,0.7495,0.5079,0.1735,0.1423,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-969623310-720839.jpg,34.7,65.3,original-aesthetic,15,0.2219,0.5625,0.623,0.1129,0.6705,0.4629,0.1351,0.5491,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-lorenzo-lenzi.jpg,23.2,76.8,original-aesthetic,2,0.0632,0.3675,0.3371,0.0344,0.9162,0.8911,0.0108,0.9202,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-francesco-i-de-medici-1551-1.jpg,12.5,87.5,original-aesthetic,2,0.1355,0.427,0.3208,0.0945,0.8635,0.8155,0.0346,0.8361,True
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-996670302-454195.jpg,17.3,82.7,original-aesthetic,12,0.3076,0.5348,0.5779,0.159,0.7721,0.5617,0.1914,0.4428,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_mountain-range-1530.jpg,66.8,33.2,ai-aesthetic,16,0.5391,0.5386,0.5168,0.1971,0.7442,0.7467,0.0361,0.3662,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-989433305-244481.jpg,37.1,62.9,original-aesthetic,15,0.2089,0.5735,0.4779,0.172,0.7605,0.4964,0.1657,0.4957,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_portrait-of-giovanni-de-medici-1545.jpg,5.9,94.1,original-aesthetic,9,0.1678,0.4144,0.5032,0.1825,0.8498,0.7056,0.0705,0.679,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_moses-strikes-water-from-the-wall-rocks.jpg,10.9,89.1,original-aesthetic,31,0.1595,0.5222,0.4648,0.1953,0.7829,0.5349,0.1953,0.3676,False
renaissance,True,AI_SD_renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-986319752-931171.jpg,16.9,83.1,original-aesthetic,17,0.2762,0.4137,0.5146,0.172,0.642,0.5147,0.1383,0.4179,True
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/albrecht-altdorfer_passion-of-christ-2.jpg,17.0,83.0,original-aesthetic,12,0.1488,0.5335,0.5512,0.1762,0.8452,0.7071,0.1417,0.5653,False
renaissance,False,renaissance,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/renaissance/agnolo-bronzino_christ-on-the-cross.jpg,25.6,74.4,original-aesthetic,7,0.1339,0.4311,0.2281,0.1436,0.9043,0.825,0.0446,0.7626,False
