style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/aladar-korosfoi-kriesch_fountain-of-art-1907.jpg,11.4,88.6,original-aesthetic,25,0.3706,0.4548,0.4026,0.1399,0.8579,0.6892,0.1846,0.2289
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-978435577-944066.jpg,2.3,97.7,original-aesthetic,9,0.2459,0.4783,0.5708,0.1738,0.8295,0.6587,0.1059,0.654
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/albert-lynch_a-lady-with-a-fan.jpg,16.6,83.4,original-aesthetic,17,0.1862,0.4746,0.6853,0.1425,0.8705,0.7537,0.0453,0.7301
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-92296554-209716.jpg,7.1,92.9,original-aesthetic,21,0.1827,0.6367,0.4186,0.0904,0.791,0.5835,0.1492,0.5981
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-992945247-819553.jpg,5.2,94.8,original-aesthetic,27,0.0551,0.4149,0.4829,0.1703,0.7105,0.4888,0.1983,0.7686
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-985622578-828203.jpg,4.3,95.7,original-aesthetic,6,0.6738,0.6424,0.4933,0.1618,0.8082,0.6624,0.0834,0.2946
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-972806850-762824.jpg,2.9,97.1,original-aesthetic,11,0.5195,0.4878,0.5433,0.1977,0.7501,0.5384,0.1425,0.105
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-96909893-58145.jpg,4.9,95.1,original-aesthetic,20,0.6152,0.5328,0.5848,0.1569,0.6921,0.4522,0.1464,0.096
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/aladar-korosfoi-kriesch_ego-sum-via-veritas-et-vita-1903.jpg,8.2,91.8,original-aesthetic,11,0.2085,0.4631,0.233,0.164,0.7828,0.6423,0.1399,0.6917
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-986424499-734950.jpg,8.9,91.1,original-aesthetic,14,0.1103,0.4012,0.4524,0.137,0.8327,0.6586,0.1013,0.7194
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/aladar-korosfoi-kriesch_sz-kely-folk-tales-1912.jpg,25.8,74.2,original-aesthetic,17,0.3051,0.4415,0.7016,0.1137,0.8545,0.7096,0.1327,0.4915
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-97243915-722006.jpg,3.3,96.7,original-aesthetic,11,0.216,0.4929,0.7055,0.1642,0.7414,0.5128,0.1245,0.4482
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/a-y-jackson_the-red-maple-1914.jpg,47.2,52.8,original-aesthetic,9,0.3518,0.6501,0.606,0.0629,0.8614,0.7477,0.1802,0.6146
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/a-y-jackson_nellie-lake-1933.jpg,12.6,87.4,original-aesthetic,18,0.2864,0.4236,0.6044,0.1096,0.7603,0.5429,0.2303,0.4152
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-986957722-24251.jpg,8.1,91.9,original-aesthetic,14,0.1395,0.3854,0.4785,0.1542,0.6742,0.4563,0.1762,0.5416
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-975556822-765081.jpg,2.8,97.2,original-aesthetic,18,0.3696,0.4821,0.4469,0.1871,0.7126,0.5492,0.1055,0.5421
art_nouveau,False,art_nouveau,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/art_nouveau/a-y-jackson_algoma-in-november-1935.jpg,23.6,76.4,original-aesthetic,20,0.0554,0.4476,0.5618,0.1551,0.8386,0.6928,0.1842,0.8031
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-9799963-779622.jpg,4.7,95.3,original-aesthetic,17,0.4884,0.5706,0.6101,0.1114,0.8331,0.7059,0.1225,0.3881
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-988189193-576100.jpg,7.8,92.2,original-aesthetic,11,0.4263,0.694,0.6455,0.0346,0.8794,0.7902,0.0831,0.5511
