style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
romanticism,True,AI_SD_romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_romanticism/7-999860934-973961.jpg,23.6,76.4,original-aesthetic,8,0.5778,0.4313,0.6368,0.1025,0.809,0.6205,0.1082,0.3978
romanticism,True,AI_SD_romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_romanticism/7-961638901-114097.jpg,9.0,91.0,original-aesthetic,13,0.223,0.4967,0.5341,0.2104,0.8075,0.6601,0.0812,0.7234
romanticism,False,romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/romanticism/albert-bierstadt_snow-capped-moutain.jpg,41.4,58.6,original-aesthetic,2,0.2398,0.3794,0.6116,0.0718,0.9052,0.8635,0.0305,0.76
romanticism,False,romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/romanticism/albert-benua_dvorets-vel-kn-pavla-aleksandrovicha.jpg,44.5,55.5,original-aesthetic,8,0.7104,0.4222,0.4892,0.1794,0.8052,0.7149,0.1574,0.2152
romanticism,True,AI_SD_romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_romanticism/7-978089353-752946.jpg,34.3,65.7,original-aesthetic,14,0.4931,0.447,0.5244,0.1821,0.7368,0.539,0.1073,0.3248
romanticism,False,romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/romanticism/albert-bierstadt_on-the-plains-sunset.jpg,57.4,42.6,ai-aesthetic,1,0.0222,0.707,0.5684,0.1063,0.8365,0.7683,0.0114,0.9778
romanticism,False,romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/romanticism/adolphe-joseph-thomas-monticelli_rocky-landscape.jpg,33.9,66.1,original-aesthetic,11,0.581,0.547,0.4957,0.2017,0.7292,0.5293,0.152,0.3638
romanticism,False,romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/romanticism/albert-bierstadt_sunlight-and-shadow-1862.jpg,28.7,71.3,original-aesthetic,29,0.2117,0.5997,0.5141,0.1667,0.7984,0.5619,0.2034,0.4195
romanticism,False,romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/romanticism/albert-benua_the-grove-1936.jpg,63.9,36.1,ai-aesthetic,12,0.1143,0.3751,0.388,0.0688,0.7041,0.6207,0.135,0.7479
romanticism,True,AI_SD_romanticism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_romanticism/7-990855164-266128.jpg,32.5,67.5,original-aesthetic,7,0.17,0.6181,0.7669,0.1114,0.8093,0.6854,0.0951,0.7317
