style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
surrealism,True,AI_SD_surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_surrealism/8-938343335-929258.jpg,42.2,57.8,original-aesthetic,11,0.1696,0.4637,0.4027,0.1476,0.829,0.6906,0.0179,0.7383
surrealism,False,surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/surrealism/Andrea_Barreda_Frightened_bird.jpg,2.6,97.4,original-aesthetic,8,0.2316,0.4377,0.4403,0.1494,0.8423,0.688,0.1138,0.5782
surrealism,False,surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/surrealism/Adulyasaraphan_2011_Immersed_in_the_Moon.jpg,41.1,58.9,original-aesthetic,19,0.2655,0.4769,0.5504,0.1848,0.796,0.5862,0.211,0.3301
surrealism,True,AI_SD_surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_surrealism/8-992800752-33127.jpg,55.7,44.3,ai-aesthetic,15,0.1938,0.5433,0.3166,0.1245,0.7872,0.5584,0.0321,0.6814
surrealism,True,AI_SD_surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_surrealism/8-999052376-319574.jpg,20.2,79.8,original-aesthetic,11,0.3385,0.5898,0.6634,0.077,0.8299,0.6906,0.0293,0.549
surrealism,True,AI_SD_surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_surrealism/8-977080218-449723.jpg,27.1,72.9,original-aesthetic,17,0.1339,0.4487,0.4973,0.2005,0.8152,0.6248,0.0747,0.6051
surrealism,True,AI_SD_surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_surrealism/8-980040405-950884.jpg,32.0,68.0,original-aesthetic,15,0.4009,0.4736,0.3987,0.1548,0.8147,0.616,0.0593,0.3157
surrealism,True,AI_SD_surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_surrealism/8-978905560-443338.jpg,44.6,55.4,original-aesthetic,16,0.0501,0.484,0.4099,0.169,0.7954,0.6282,0.0459,0.8514
surrealism,False,surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/surrealism/Andrew_Ferez_.jpg,3.7,96.3,original-aesthetic,13,0.2961,0.5395,0.6997,0.1314,0.7958,0.6365,0.1403,0.5264
surrealism,True,AI_SD_surrealism,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_surrealism/8-996704061-154018.jpg,54.1,45.9,ai-aesthetic,6,0.2348,0.568,0.6566,0.0992,0.8145,0.6988,0.0447,0.6532
