style,is_ai_generated,source,path,ai_likeness_percent,originality_score,dominant_aesthetic,cv_region_count,cv_largest_region_area_ratio,cv_subject_centroid_x,cv_subject_centroid_y,cv_rule_of_thirds_offset,cv_symmetry_score,cv_symmetry_score_fuzzy_global,cv_edge_density,cv_negative_space_ratio
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/eishosai-choki_163.jpg,0.8,99.2,original-aesthetic,17,0.7239,0.5033,0.5478,0.202,0.7963,0.5612,0.2545,0.1161
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-970643275-274459.jpg,3.8,96.2,original-aesthetic,20,0.2409,0.6322,0.2926,0.0534,0.7725,0.5338,0.1674,0.704
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-982278505-452826.jpg,3.7,96.3,original-aesthetic,6,0.1696,0.7256,0.3168,0.0612,0.7672,0.5875,0.1506,0.7614
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/gigado-ashiyuki_100.jpg,0.6,99.4,original-aesthetic,11,0.4961,0.5689,0.6195,0.1085,0.8271,0.7242,0.157,0.245
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-993213410-640387.jpg,6.7,93.3,original-aesthetic,12,0.1781,0.4809,0.4198,0.1711,0.7998,0.629,0.0968,0.7328
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/eishosai-choki_26.jpg,0.9,99.1,original-aesthetic,13,0.1846,0.3231,0.3988,0.0663,0.8569,0.7178,0.1597,0.6564
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-993213410-127045.jpg,13.7,86.3,original-aesthetic,24,0.1427,0.6693,0.6397,0.0271,0.7513,0.5468,0.1983,0.6711
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-999769387-73694.jpg,5.0,95.0,original-aesthetic,18,0.4395,0.4399,0.4982,0.1963,0.7359,0.5321,0.1479,0.2742
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-972806850-202758.jpg,2.3,97.7,original-aesthetic,15,0.3008,0.6013,0.3622,0.0714,0.7501,0.5643,0.09,0.5454
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-994703328-689340.jpg,23.1,76.9,original-aesthetic,19,0.0554,0.5852,0.5024,0.1833,0.8294,0.6238,0.0957,0.8329
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-984567149-547213.jpg,7.6,92.4,original-aesthetic,34,0.1068,0.4819,0.4981,0.2219,0.797,0.5642,0.125,0.4677
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/eishosai-choki_133.jpg,1.5,98.5,original-aesthetic,13,0.3694,0.5436,0.5686,0.1574,0.7821,0.6771,0.1436,0.4762
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-972806850-855445.jpg,12.2,87.8,original-aesthetic,11,0.1862,0.3826,0.5311,0.1443,0.8059,0.6252,0.1027,0.587
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-985622578-870982.jpg,3.0,97.0,original-aesthetic,23,0.1716,0.3291,0.4829,0.1496,0.753,0.5109,0.1101,0.5725
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-984680894-487128.jpg,7.8,92.2,original-aesthetic,10,0.3041,0.605,0.3055,0.0677,0.6939,0.4944,0.1015,0.618
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/eishosai-choki_200.jpg,0.5,99.5,original-aesthetic,8,0.3444,0.5536,0.3698,0.1188,0.8309,0.6435,0.1226,0.4197
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/fujishima-takeji_butterflies-1934.jpg,1.1,98.9,original-aesthetic,4,0.041,0.8176,0.6343,0.1544,0.9198,0.855,0.0452,0.9054
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-914587681-475052.jpg,7.2,92.8,original-aesthetic,21,0.1327,0.4004,0.5216,0.1598,0.8276,0.6674,0.1359,0.7027
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/gigado-ashiyuki_39.jpg,1.0,99.0,original-aesthetic,29,0.123,0.6189,0.4191,0.0982,0.7908,0.582,0.2585,0.6076
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/adachi-ginko_201.jpg,12.7,87.3,original-aesthetic,21,0.3004,0.4925,0.5232,0.2143,0.865,0.7131,0.2091,0.2363
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-945769166-892823.jpg,10.4,89.6,original-aesthetic,13,0.2645,0.5518,0.3482,0.1159,0.753,0.6338,0.1375,0.575
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-998834727-493680.jpg,3.1,96.9,original-aesthetic,30,0.1605,0.4607,0.4445,0.1691,0.7807,0.5145,0.1437,0.4979
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-977143922-646354.jpg,11.3,88.7,original-aesthetic,16,0.0604,0.4017,0.6761,0.069,0.9041,0.8588,0.1158,0.8169
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-996343276-150778.jpg,4.3,95.7,original-aesthetic,9,0.9219,0.5085,0.5404,0.2024,0.8253,0.6136,0.1813,0.0411
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-987436732-628909.jpg,8.1,91.9,original-aesthetic,21,0.0988,0.3562,0.4686,0.1372,0.7515,0.5447,0.1189,0.701
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/eishosai-choki_190.jpg,2.0,98.0,original-aesthetic,22,0.1427,0.4704,0.5128,0.2061,0.8069,0.5758,0.2312,0.5678
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-981010433-895978.jpg,8.0,92.0,original-aesthetic,19,0.3343,0.5674,0.3277,0.0995,0.7391,0.5029,0.1652,0.5504
ukiyo_e,False,ukiyo_e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/ukiyo_e/chokosai-eisho_67.jpg,1.1,98.9,original-aesthetic,13,0.515,0.3851,0.4588,0.1357,0.6744,0.5296,0.1484,0.2416
ukiyo-e,True,AI_SD_ukiyo-e,/data/peter/aiart/data/Real_AI_SD_LD_Dataset/train/AI_SD_ukiyo-e/9-996343276-882101.jpg,9.1,90.9,original-aesthetic,12,0.489,0.3127,0.5529,0.1157,0.7349,0.522,0.1192,0.4488
